dappNAme,category,users,Platform,Devact,Volume7d,github,status,Date,license
DutchX,Exchanges,36,Ethereum,1,0,https://github.com/gnosis/dx-contracts?utm_source=StateOfTheDApps,Live,"Apr 25th, 2018",Unknown license
Santiment,Finance,3,Ethereum,2521,0,https://github.com/santiment?utm_source=StateOfTheDApps,Live,"May 9th, 2017",Unknown license
Lunyr,Media,8,Ethereum,0,0,https://github.com/lunyr?utm_source=StateOfTheDApps,Live,"Mar 7th, 2017",open
RotoHive,Games,0,Ethereum,0,0,https://github.com/RotoHive/contracts?utm_source=StateOfTheDApps,Live,"Jul 11th, 2018",GPL
Musing,Media,6,Steem,0,0,null,Live,"Dec 16th, 2018",Musing
TenX,Wallet,30,Ethereum,0,0,null,Live,"Jun 29th, 2017",Unknown license
Crypto stamp,Wallet,2,Ethereum,0,0,https://github.com/ViaOliver/CryptoStamp/blob/master/cryptostamp-150k.csv?utm_source=StateOfTheDApps,Live,"Aug 5th, 2019",Unknown license
TurboWallet,Wallet,0,GoChain,0,0,null,Prototype,"Jan 14th, 2019",Unknown license
PayFair,Exchanges,1,Ethereum,0,0,https://github.com/payfairio?utm_source=StateOfTheDApps,Live,"Apr 10th, 2019",MIT
CryptoAssault,Games,2,Ethereum,0,484,null,Live,"Dec 4th, 2018",Unknown license
MetaMorph,Exchanges,3,Ethereum,0,0,null,Live,"Dec 29th, 2018",Unknown license
Theta Network,Media,1,Ethereum,34,0,https://github.com/thetatoken?utm_source=StateOfTheDApps,Live,"Dec 19th, 2018",open-source
Trust Dice,Gambling,3023,EOS,0,368198,null,Live,"Nov 7th, 2018",Trust Dice
Market Protocol,Exchanges,0,Ethereum,7,0,https://github.com/MARKETProtocol?utm_source=StateOfTheDApps,Live,"May 9th, 2018",Apache 2.0
OpenBRM,Marketplaces,11,EOS,0,0,null,Live,"Apr 20th, 2019",Unknown license
Bounty0x,Marketplaces,1,Ethereum,0,0,null,Beta,"Oct 8th, 2018",Propietary
Bethereum,Social,24,Ethereum,1,0,https://github.com/bethereumproject?utm_source=StateOfTheDApps,Prototype,"Mar 30th, 2018",Unknown license
Cryptopunks,Marketplaces,4,Ethereum,0,3967,https://github.com/larvalabs/cryptopunks?utm_source=StateOfTheDApps,Live,"Jul 18th, 2017",MIT
Sense Chat,Social,4,EOS,0,0,https://github.com/sensay/docs_make_sense?utm_source=StateOfTheDApps,Live,"Dec 18th, 2018",Proprietary
